,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1970,2.691930586633589
RGI60-11.00012,13.0581,47.4242,10,1955,-2.5850044608544067
RGI60-11.00073,12.5956,47.1403,17,1977,-2.462026371026468
RGI60-11.00080,12.5964,47.1316,63,1969,4.0770453084390965
RGI60-11.00106,12.6967,47.0991,28,1937,-0.5784659226961821
RGI60-11.00190,12.3784,47.0851,8,1986,2.720702993889063
RGI60-11.00251,12.9472,47.053,16,1989,-12.04351081297682
RGI60-11.00289,12.9702,47.0421,26,1866,-1.3879522455700908
RGI60-11.00300,13.0049,47.0385,32,1883,2.2352416099042784
RGI60-11.00603,11.2247,46.9656,19,1911,51.581872097889004
RGI60-11.00619,11.1528,46.9566,13,1963,0.4261342041900207
RGI60-11.00638,9.38896,46.9603,8,1907,7.42662574558608
RGI60-11.00647,12.0965,46.9069,6,1955,0.9193729106884803
RGI60-11.00719,10.818,46.8762,50,1973,7.188868976316769
RGI60-11.00781,10.1603,46.8577,26,1905,-0.11547796655020193
RGI60-11.00787,10.7907,46.8424,62,1956,0.48234190007499933
RGI60-11.00797,10.1054,46.8515,9,1877,4.151717693667479
RGI60-11.00804,10.0766,46.8524,96,1929,3.3942918106604907
RGI60-11.00807,10.1309,46.8529,9,1905,208.3413467720012
RGI60-11.00843,8.89117,46.8442,100,1973,-2.1484808619238436
RGI60-11.00892,8.98871,46.833,42,1969,2.3604482911442233
RGI60-11.00897,10.7584,46.8003,62,1884,-3.980892838310524
RGI60-11.00918,8.97739,46.8133,38,1927,-0.48797454480623514
RGI60-11.00929,11.0191,46.7817,8,1880,-3.34387412713113
RGI60-11.00957,10.8054,46.7801,5,1885,-8.542931612975963
RGI60-11.01238,8.3965,46.6236,33,1901,97.85710573031247
RGI60-11.01450,8.01919,46.5028,60,1966,164.40684701679191
RGI60-11.01662,9.36354,46.5056,5,1874,1.5575962184042282
RGI60-11.01704,10.771,46.4838,28,1882,-15.704011721665893
RGI60-11.01776,10.6115,46.4674,11,1918,0.5948494611322985
RGI60-11.01834,10.7085,46.4512,48,1903,81.69592184816383
RGI60-11.01863,10.6286,46.4337,12,1971,5.18775655367574
RGI60-11.01876,8.33019,46.4383,53,1891,-3.1377976704784487
RGI60-11.01930,10.1119,46.4296,5,1931,-9.084857518890885
RGI60-11.01987,8.4812,46.416,23,1943,1.1580957607224036
RGI60-11.02072,7.51198,46.3839,5,1970,684.2194687230526
RGI60-11.02214,10.5127,46.348,14,1895,-4.97627674031844
RGI60-11.02245,9.70108,46.3085,6,1905,194.92071858623956
RGI60-11.02249,7.22536,46.3202,5,1970,590.7801861488665
RGI60-11.02285,9.64185,46.2987,6,1905,129.07229389151723
RGI60-11.02648,9.98941,46.0754,5,1999,-110.94018177403117
RGI60-11.02671,7.9245,46.0649,40,1914,-1.9600466481233525
RGI60-11.02679,7.9131,46.055,59,1883,3.979207827958163
RGI60-11.02704,7.90949,46.0336,59,1984,-2.883563882722086
RGI60-11.02746,7.92806,46.0081,59,1882,-2.4294380105160656
RGI60-11.02764,7.87661,46.0124,9,1872,-29.313381499499883
RGI60-11.02766,7.29108,45.9647,18,1969,0.7778577275302041
RGI60-11.02773,7.87051,45.9936,10,1984,5.724985515926164
RGI60-11.02774,7.38888,45.9921,48,1917,-2.023695193463766
RGI60-11.03084,7.27894,45.5592,14,1947,0.4877016526521629
RGI60-11.03135,7.38984,45.5181,23,1903,139.54360606121122
RGI60-11.03166,7.2204,45.4757,12,1951,0.47496122520800554
RGI60-11.03246,10.982920789,47.415938932,6,1873,-0.3606162179416117
RGI60-11.03638,6.985,45.951,39,1966,93.69080811574133
RGI60-11.03643,6.934,45.883,8,1912,1.6208713176470155
RGI60-11.03671,6.629,45.295,20,1905,78.40335218858195
RGI60-11.03674,6.159,45.16,58,1926,155.62735694075502
RGI60-11.03756,6.130521774,45.116443634,66,1925,553.7708534004369
